Data: 2023/10/5, Hora:10:36:7, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:36:7, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:36:7, Temperatura: 5.00ºC, Humidade: undefined% 
Data: 2023/10/5, Hora:10:36:7, Temperatura: 25.00ºC, Humidade: undefined% 
Data: 2023/10/5, Hora:10:36:7, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:36:7, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:36:8, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:36:13, Temperatura: 30.00ºC, Humidade: 12.00% 
Data: 2023/10/5, Hora:10:36:18, Temperatura: 30.00ºC, Humidade: 8.00% 
Data: 2023/10/5, Hora:10:36:23, Temperatura: 30.00ºC, Humidade: 4.00% 
Data: 2023/10/5, Hora:10:36:28, Temperatura: 30.00ºC, Humidade: 14.00% 
Data: 2023/10/5, Hora:10:36:33, Temperatura: 30.00ºC, Humidade: 2.00% 
Data: 2023/10/5, Hora:10:36:38, Temperatura: 30.00ºC, Humidade: 19.00% 
Data: 2023/10/5, Hora:10:36:43, Temperatura: 30.00ºC, Humidade: 10.00% 
Data: 2023/10/5, Hora:10:36:48, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:36:53, Temperatura: 30.00ºC, Humidade: 16.00% 
Data: 2023/10/5, Hora:10:36:58, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:37:3, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:37:8, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:37:13, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:37:18, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:37:23, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:37:28, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:37:33, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:37:38, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:37:43, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:37:48, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:37:53, Temperatura: 30.00ºC, Humidade: 0.00% 
Data: 2023/10/5, Hora:10:37:58, Temperatura: 30.00ºC, Humidade: 0.00% 
